"","Q64","Q63","S3_1_1","S3_2_1","S3_4_1_1","S3_4_1_2","S3_5_1","S3_6_1_1","S3_6_1_2","S3_7_1_1","S3_7_1_2","S3_8_1_1","S3_8_1_2","Studie3sel"
"1",52,2,1,5,1,NA,4,1,NA,1,NA,1,NA,1
"2",30,2,2,3,4,NA,4,5,NA,4,NA,4,NA,1
"3",64,2,1,4,5,NA,2,2,NA,4,NA,3,NA,1
"4",43,2,2,2,4,NA,4,7,NA,7,NA,7,NA,1
"5",74,1,2,7,4,NA,4,4,NA,7,NA,7,NA,1
"6",51,2,1,4,1,NA,1,4,NA,2,NA,7,NA,1
"7",58,1,2,7,7,NA,7,6,NA,6,NA,7,NA,1
"8",55,1,2,4,4,NA,4,6,NA,6,NA,5,NA,1
"9",68,2,2,3,3,NA,3,3,NA,7,NA,7,NA,1
"10",32,1,2,5,6,NA,6,5,NA,6,NA,6,NA,1
"11",56,1,2,1,3,NA,4,5,NA,6,NA,6,NA,1
"12",23,1,2,4,4,NA,4,5,NA,5,NA,5,NA,1
"13",62,2,2,3,3,NA,3,3,NA,4,NA,6,NA,1
"14",71,1,1,6,1,NA,1,1,NA,1,NA,1,NA,1
"15",47,2,2,1,7,NA,7,1,NA,1,NA,7,NA,1
"16",65,2,2,7,6,NA,2,6,NA,7,NA,7,NA,1
"17",74,2,1,2,4,NA,4,2,NA,1,NA,7,NA,1
"18",50,2,2,4,5,NA,5,5,NA,5,NA,5,NA,1
"19",55,2,1,4,3,NA,3,3,NA,4,NA,4,NA,1
"20",74,1,1,2,3,NA,3,7,NA,7,NA,7,NA,1
"21",74,1,1,6,1,NA,2,1,NA,1,NA,2,NA,1
"22",65,1,2,7,5,NA,5,7,NA,7,NA,7,NA,1
"23",20,2,2,5,5,NA,6,7,NA,7,NA,7,NA,1
"24",45,2,2,4,4,NA,4,4,NA,4,NA,4,NA,1
"25",74,1,1,3,2,NA,1,7,NA,7,NA,7,NA,1
"26",75,2,1,7,3,NA,3,1,NA,4,NA,4,NA,1
"27",27,1,2,7,5,NA,5,5,NA,5,NA,3,NA,1
"28",58,1,2,5,6,NA,6,7,NA,7,NA,7,NA,1
"29",38,2,1,3,7,NA,7,7,NA,7,NA,7,NA,1
"30",74,2,1,7,1,NA,1,1,NA,1,NA,1,NA,1
"31",68,2,2,2,4,NA,4,4,NA,5,NA,4,NA,1
"32",43,2,2,1,7,NA,7,7,NA,7,NA,7,NA,1
"33",75,1,1,2,2,NA,2,2,NA,3,NA,3,NA,1
"34",72,1,2,6,6,NA,6,7,NA,7,NA,7,NA,1
"35",48,2,1,5,4,NA,4,2,NA,4,NA,4,NA,1
"36",57,2,2,3,3,NA,3,3,NA,3,NA,5,NA,1
"37",25,1,2,4,4,NA,4,5,NA,5,NA,7,NA,1
"38",70,2,2,7,1,NA,4,7,NA,7,NA,5,NA,1
"39",42,1,2,5,6,NA,5,6,NA,6,NA,6,NA,1
"40",50,1,1,1,1,NA,1,1,NA,1,NA,5,NA,1
"41",68,1,1,7,7,NA,1,7,NA,7,NA,4,NA,1
"42",46,2,1,5,6,NA,6,1,NA,3,NA,3,NA,1
"43",21,1,2,4,6,NA,5,6,NA,7,NA,3,NA,1
"44",22,2,2,4,3,NA,2,4,NA,4,NA,4,NA,1
"45",61,2,1,4,2,NA,3,3,NA,2,NA,3,NA,1
"46",84,2,2,7,7,NA,7,7,NA,7,NA,7,NA,1
"47",60,2,1,3,3,NA,3,1,NA,4,NA,2,NA,1
"48",81,1,2,5,5,NA,5,5,NA,5,NA,5,NA,1
"49",30,1,1,2,6,NA,6,5,NA,7,NA,7,NA,1
"50",25,1,1,5,4,NA,3,1,NA,1,NA,2,NA,1
"51",61,2,2,3,3,NA,5,6,NA,6,NA,7,NA,1
"52",70,1,2,5,7,NA,7,7,NA,7,NA,7,NA,1
"53",34,1,2,1,3,NA,3,5,NA,6,NA,6,NA,1
"54",55,1,2,5,7,NA,5,7,NA,7,NA,1,NA,1
"55",60,1,1,6,6,NA,5,1,NA,7,NA,5,NA,1
"56",60,2,2,2,2,NA,4,5,NA,4,NA,5,NA,1
"57",70,1,1,4,6,NA,6,6,NA,7,NA,7,NA,1
"58",31,2,2,4,4,NA,4,4,NA,5,NA,6,NA,1
"59",69,1,2,3,5,NA,4,6,NA,7,NA,6,NA,1
