"","age","gender","opinion_ban","opinion_strength","justice","treatment","fairness","eval","accept","comply","favorability"
"1",52,2,"Anti",5,4,"Lamenting politician",1,1,1,1,"Unfavorable"
"2",30,2,"Pro",3,4,"Lamenting politician",4,5,4,4,"Favorable"
"3",64,2,"Anti",4,2,"Lamenting politician",5,2,4,3,"Unfavorable"
"4",43,2,"Pro",2,4,"Lamenting politician",4,7,7,7,"Favorable"
"5",74,1,"Pro",7,4,"Lamenting politician",4,4,7,7,"Favorable"
"6",51,2,"Anti",4,1,"Lamenting politician",1,4,2,7,"Unfavorable"
"7",58,1,"Pro",7,7,"Lamenting politician",7,6,6,7,"Favorable"
"8",55,1,"Pro",4,4,"Lamenting politician",4,6,6,5,"Favorable"
"9",68,2,"Pro",3,3,"Lamenting politician",3,3,7,7,"Favorable"
"10",32,1,"Pro",5,6,"Lamenting politician",6,5,6,6,"Favorable"
"11",56,1,"Pro",1,4,"Lamenting politician",3,5,6,6,"Favorable"
"12",23,1,"Pro",4,4,"Lamenting politician",4,5,5,5,"Favorable"
"13",62,2,"Pro",3,3,"Lamenting politician",3,3,4,6,"Favorable"
"14",71,1,"Anti",6,1,"Lamenting politician",1,1,1,1,"Unfavorable"
"15",47,2,"Pro",1,7,"Lamenting politician",7,1,1,7,"Favorable"
"16",65,2,"Pro",7,2,"Lamenting politician",6,6,7,7,"Favorable"
"17",74,2,"Anti",2,4,"Lamenting politician",4,2,1,7,"Unfavorable"
"18",50,2,"Pro",4,5,"Lamenting politician",5,5,5,5,"Favorable"
"19",55,2,"Anti",4,3,"Lamenting politician",3,3,4,4,"Unfavorable"
"20",74,1,"Anti",2,3,"Lamenting politician",3,7,7,7,"Unfavorable"
"21",74,1,"Anti",6,2,"Lamenting politician",1,1,1,2,"Unfavorable"
"22",65,1,"Pro",7,5,"Lamenting politician",5,7,7,7,"Favorable"
"23",20,2,"Pro",5,6,"Lamenting politician",5,7,7,7,"Favorable"
"24",45,2,"Pro",4,4,"Lamenting politician",4,4,4,4,"Favorable"
"25",74,1,"Anti",3,1,"Lamenting politician",2,7,7,7,"Unfavorable"
"26",75,2,"Anti",7,3,"Lamenting politician",3,1,4,4,"Unfavorable"
"27",27,1,"Pro",7,5,"Lamenting politician",5,5,5,3,"Favorable"
"28",58,1,"Pro",5,6,"Lamenting politician",6,7,7,7,"Favorable"
"29",38,2,"Anti",3,7,"Lamenting politician",7,7,7,7,"Unfavorable"
"30",74,2,"Anti",7,1,"Lamenting politician",1,1,1,1,"Unfavorable"
"31",68,2,"Pro",2,4,"Lamenting politician",4,4,5,4,"Favorable"
"32",43,2,"Pro",1,7,"Lamenting politician",7,7,7,7,"Favorable"
"33",75,1,"Anti",2,2,"Lamenting politician",2,2,3,3,"Unfavorable"
"34",72,1,"Pro",6,6,"Lamenting politician",6,7,7,7,"Favorable"
"35",48,2,"Anti",5,4,"Lamenting politician",4,2,4,4,"Unfavorable"
"36",57,2,"Pro",3,3,"Lamenting politician",3,3,3,5,"Favorable"
"37",25,1,"Pro",4,4,"Lamenting politician",4,5,5,7,"Favorable"
"38",70,2,"Pro",7,4,"Lamenting politician",1,7,7,5,"Favorable"
"39",42,1,"Pro",5,5,"Lamenting politician",6,6,6,6,"Favorable"
"40",50,1,"Anti",1,1,"Lamenting politician",1,1,1,5,"Unfavorable"
"41",68,1,"Anti",7,1,"Lamenting politician",7,7,7,4,"Unfavorable"
"42",46,2,"Anti",5,6,"Lamenting politician",6,1,3,3,"Unfavorable"
"43",21,1,"Pro",4,5,"Lamenting politician",6,6,7,3,"Favorable"
"44",22,2,"Pro",4,2,"Lamenting politician",3,4,4,4,"Favorable"
"45",61,2,"Anti",4,3,"Lamenting politician",2,3,2,3,"Unfavorable"
"46",84,2,"Pro",7,7,"Lamenting politician",7,7,7,7,"Favorable"
"47",60,2,"Anti",3,3,"Lamenting politician",3,1,4,2,"Unfavorable"
"48",81,1,"Pro",5,5,"Lamenting politician",5,5,5,5,"Favorable"
