responseid,imp_accept,other_accept,self_accept,r10panelpad,opinion_ban,opinion_strength,video_mobile,video_ended,video_error,video_paused,video_played,video_timespent,video_report,r10pad4_comment,fairness,accept,trust,check_outcome,check_politician,r10pad1_9_backward_1,r10pad1_9_backward_2,r10pad1_9_backward_3,r10pad1_9_backward_4,r10pad1_9_backward_5,r10pad1_9_backward_6,r10pad1_9_backward_7,r10pad1_9_backward_8,video,treatment,favorability,mcheck_favorability,imp_accept2,other_accept2,self_accept2,opinion_strength2
1000011,4,5,4,1,Pro,1,1,NA,NA,NA,NA,103,1,,5,4,4,2,2,NA,NA,1,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1000025,4,2,4,1,Pro,2,0,1,NA,1,1,181,1,,4,5,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1000049,3,3,3,1,Pro,5,1,NA,NA,NA,NA,155,1,,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,Low degree,Low degree,Important
1000055,4,3,4,1,Pro,4,1,NA,NA,NA,NA,92,1,,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,High degree,Important
1000092,5,4,4,1,Pro,3,0,1,NA,NA,1,88,1,,4,5,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Not important
1000093,4,4,4,1,Pro,4,1,NA,NA,NA,NA,95,1,,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Important
1000095,5,4,4,1,Pro,2,0,1,NA,1,1,127,1,,5,5,4,2,1,NA,NA,NA,NA,NA,NA,1,1,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1000097,4,3,3,1,Pro,4,0,1,NA,3,3,112,1,,4,3,3,2,1,NA,1,1,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,Low degree,Important
1000127,4,4,4,1,Pro,NA,0,1,NA,1,1,86,1,,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,NA
1000150,4,4,4,1,Pro,3,0,2,NA,2,2,87,1,,5,5,5,1,2,1,1,1,1,1,1,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Not important
1000158,4,2,3,1,Pro,3,0,2,NA,2,2,89,1,,4,4,4,1,2,1,1,1,1,1,1,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,Low degree,Not important
1000165,5,3,5,1,Pro,4,0,1,NA,4,4,192,1,,5,4,3,2,1,NA,NA,1,1,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,High degree,Important
1000181,4,2,4,1,Pro,2,0,1,NA,1,1,96,1,,5,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,High degree,Not important
1000204,4,3,4,1,Pro,3,0,1,NA,1,1,92,1,,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,High degree,Not important
