"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time"
"1",1000010,1,3,2,4,5,2,2,2,3,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",92
"2",1000018,1,4,1,4,5,1,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",47
"3",1000023,2,4,1,4,7,1,1,1,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",60
"4",1000038,1,3,2,2,1,1,2,2,3,2,98,97,98,97,98,97,"timeTracker2_R13PAD6B",27
"5",1000043,1,3,1,3,1,1,2,1,2,1,2,98,2,98,3,98,"timeTracker2_R13PAD6A",54
"6",1000045,2,1,2,4,4,1,2,2,1,2,98,1,98,4,98,5,"timeTracker2_R13PAD6B",62
"7",1000049,1,1,2,1,2,1,2,1,1,2,98,4,98,4,98,5,"timeTracker2_R13PAD6B",49
"8",1000051,1,5,1,4,3,1,2,1,2,1,1,98,2,98,1,98,"timeTracker2_R13PAD6A",59
"9",1000058,2,3,1,4,2,1,1,2,2,2,98,2,98,4,98,2,"timeTracker2_R13PAD6B",36
"10",1000062,2,5,1,4,5,1,2,1,1,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",50
"11",1000084,1,2,2,1,7,2,2,1,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",42
"12",1000089,2,4,1,4,4,2,1,1,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",99
"13",1000092,1,3,2,1,5,1,2,1,1,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",58
"14",1000101,1,3,2,4,1,2,1,1,1,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",60
"15",1000105,1,2,2,4,2,2,1,2,2,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",65
"16",1000115,2,5,1,3,2,1,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",46
"17",1000127,2,5,1,2,2,1,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",37
"18",1000130,1,4,1,4,7,2,1,2,3,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",48
"19",1000131,2,4,1,3,1,1,2,2,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",51
"20",1000134,1,2,2,2,2,1,1,1,3,1,2,98,1,98,2,98,"timeTracker2_R13PAD6A",48
"21",1000143,1,4,1,2,1,1,2,2,1,1,3,98,3,98,2,98,"timeTracker2_R13PAD6A",55
"22",1000146,2,2,1,2,5,1,1,2,3,1,2,98,4,98,2,98,"timeTracker2_R13PAD6A",55
"23",1000151,2,4,2,2,7,2,1,2,1,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",50
"24",1000152,1,4,1,4,1,2,1,1,2,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",71
"25",1000153,2,4,1,3,5,1,2,1,3,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",38
"26",1000156,1,4,2,3,1,1,1,1,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",32
"27",1000165,1,1,2,2,7,1,1,2,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",43
